id,category,feature,tier,expected_warnings,notes
01-structure__semantic-containers,structure,"div/section/header/footer/main/aside/nav/article all map to container Layers",subset,,semantic-neutral containers
01-structure__headings-h1-h6,structure,"h1..h6 default font sizes (32/24/20/18/16/14, bold)",subset,,element defaults from spec 3.2
01-structure__title-metadata,structure,"<title> -> data-title, <meta> ignored",subset,,head handling
01-structure__stray-text-wrapped,structure,"bare text inside a container is wrapped in <p>",subset,subset:text-wrapped,StructureNormalization
01-structure__unknown-tag-dropped,structure,"unsupported tag (<table>) is dropped",snapshot,subset:unsupported-tag,needs browser to render original
02-box-model__box-sizing-border-box,box-model,"box-sizing: border-box (default/only)",subset,,padding stays inside width
02-box-model__padding-one-value,box-model,"padding: N (all sides)",subset,,shorthand 1 value
02-box-model__padding-two-value,box-model,"padding: T R",subset,,shorthand 2 value
02-box-model__padding-four-value,box-model,"padding: T R B L",subset,,shorthand 4 value
02-box-model__padding-longhand-sides,box-model,"padding-top/right/bottom/left",subset,,longhand sides
02-box-model__margin-uniform,box-model,"uniform margin folded into a padding wrapper",subset,,no per-child margin in PAGX
02-box-model__margin-negative,box-model,"negative margin passed through",subset,,
02-box-model__margin-auto-center,box-model,"margin: 0 auto horizontal centering",snapshot,,auto margins resolved by browser
02-box-model__margin-promoted-to-gap,box-model,"uniform child main-axis margin promoted to container gap",subset,subset:margin-promoted-to-gap,MarginToGapPromotion
03-sizing-units__length-px,sizing-units,"px lengths on width/height",subset,,
03-sizing-units__size-percent,sizing-units,"width/height in %",subset,,resolved against parent content box
03-sizing-units__unit-em-coerced,sizing-units,"em coerced to px",subset,subset:unit-coerced,against parent font-size
03-sizing-units__unit-rem-coerced,sizing-units,"rem coerced to px (16px base)",subset,subset:unit-coerced,
03-sizing-units__unit-pt-coerced,sizing-units,"pt coerced to px (pt*4/3)",subset,subset:unit-coerced,
03-sizing-units__unit-vw-vh-coerced,sizing-units,"vw/vh dropped (not coerced at filter time)",subset,subset:unsupported-property,vw/vh only coerce when canvas known to the filter; dropped otherwise
03-sizing-units__calc-rejected,sizing-units,"calc() rejected",subset,subset:unsupported-property,
03-sizing-units__min-max-width-ignored,sizing-units,"min-width/max-width ignored",subset,subset:unsupported-property,
03-sizing-units__aspect-ratio-ignored,sizing-units,"aspect-ratio ignored",subset,subset:unsupported-property,
04-display__display-block,display,"display: block stacking",subset,,default
04-display__display-flex,display,"display: flex enables layout",subset,,
04-display__display-inline-downgraded,display,"display: inline downgraded to block",subset,subset:unsupported-property,no true inline box model
04-display__display-inline-block-downgraded,display,"display: inline-block downgraded to block",subset,subset:unsupported-property,
04-display__display-none-hidden,display,"display: none removes the element",snapshot,subset:unsupported-property,browser removes from render
04-display__display-grid,display,"display: grid (unsupported, needs snapshot)",snapshot,subset:unsupported-property,grid-* dropped by importer
04-display__display-table,display,"display: table (unsupported, needs snapshot)",snapshot,"subset:text-wrapped,subset:unsupported-property",
04-display__float-left-right,display,"float left/right (unsupported, needs snapshot)",snapshot,subset:unsupported-property,
05-flexbox__flex-direction-row,flexbox,"flex-direction: row",subset,,
05-flexbox__flex-direction-column,flexbox,"flex-direction: column",subset,,
05-flexbox__flex-direction-row-reverse,flexbox,"flex-direction: row-reverse downgraded to row",subset,subset:unsupported-property,reverse ordering not modelled
05-flexbox__justify-content-flex-start,flexbox,"justify-content: flex-start",subset,,
05-flexbox__justify-content-center,flexbox,"justify-content: center",subset,,
05-flexbox__justify-content-flex-end,flexbox,"justify-content: flex-end",subset,,
05-flexbox__justify-content-space-between,flexbox,"justify-content: space-between",subset,,
05-flexbox__justify-content-space-around,flexbox,"justify-content: space-around",subset,,
05-flexbox__justify-content-space-evenly,flexbox,"justify-content: space-evenly",subset,,
05-flexbox__align-items-stretch,flexbox,"align-items: stretch",subset,,
05-flexbox__align-items-center,flexbox,"align-items: center",subset,,
05-flexbox__align-items-flex-start,flexbox,"align-items: flex-start",subset,,
05-flexbox__align-items-flex-end,flexbox,"align-items: flex-end",subset,,
05-flexbox__align-items-baseline,flexbox,"align-items: baseline",subset,,
05-flexbox__gap-single,flexbox,"gap: N",subset,,single value
05-flexbox__flex-grow,flexbox,"flex: 1 grow distributes free space",subset,,
05-flexbox__flex-none,flexbox,"flex: none maps to flex 0",subset,,
05-flexbox__flex-shrink-zero,flexbox,"flex-shrink: 0 dropped silently",subset,,PAGX never shrinks
05-flexbox__nested-flex,flexbox,"row flex nested inside a column flex",subset,,
